"idrefformula","idherbsmed","idcrude","composition","unit"
"F00001","J00001","S00760","",""
"F00002","J00002","S00043","",""
"F00002","J00002","S00058","",""
"F00002","J00002","S00151","",""
"F00002","J00002","S00318","",""
"F00002","J00002","S00325","",""
"F00002","J00002","S01124","",""
"F00002","J00002","S01128","",""
"F00002","J00002","S01130","",""
"F00003","J00003","S00043","",""
"F00003","J00003","S00058","",""
"F00003","J00003","S00318","",""
"F00003","J00003","S00325","",""
"F00003","J00003","S01128","",""
"F00003","J00003","S01130","",""
"F00004","J00004","S00058","",""
"F00004","J00004","S00265","",""
"F00004","J00004","S00318","",""
"F00004","J00004","S00415","",""
"F00004","J00004","S00470","",""
"F00004","J00004","S00562","",""
"F00004","J00004","S01128","",""
"F00005","J00005","S00192","",""
"F00005","J00005","S00284","",""
"F00005","J00005","S00325","",""
"F00005","J00005","S00740","",""
"F00005","J00005","S00818","",""
"F00005","J00005","S01128","",""
"F00005","J00005","S01130","",""
"F00006","J00006","S00043","",""
"F00006","J00006","S00151","",""
"F00006","J00006","S00318","",""
"F00006","J00006","S00325","",""
"F00006","J00006","S00536","",""
"F00006","J00006","S00716","",""
"F00006","J00006","S00821","",""
"F00006","J00006","S00893","",""
"F00007","J00007","S00043","",""
"F00007","J00007","S00296","",""
"F00007","J00007","S00318","",""
"F00007","J00007","S00325","",""
"F00008","J00008","S00043","",""
"F00008","J00008","S00158","",""
"F00008","J00008","S00325","",""
"F00008","J00008","S00818","",""
"F00008","J00008","S00821","",""
"F00008","J00008","S01124","",""
"F00008","J00008","S01128","",""
"F00008","J00008","S01130","",""
"F00009","J00009","S00043","",""
"F00009","J00009","S00130","",""
"F00009","J00009","S00325","",""
"F00009","J00009","S00818","",""
"F00009","J00009","S00821","",""
"F00009","J00009","S01110","",""
"F00009","J00009","S01124","",""
"F00009","J00009","S01128","",""
"F00010","J00010","S00043","",""
"F00010","J00010","S00296","",""
"F00010","J00010","S00325","",""
"F00010","J00010","S00716","",""
"F00010","J00010","S01128","",""
"F00011","J00011","S00043","",""
"F00011","J00011","S00318","",""
"F00011","J00011","S00325","",""
"F00011","J00011","S00697","",""
"F00011","J00011","S00821","",""
"F00011","J00011","S01124","",""
"F00011","J00011","S01128","",""
"F00012","J00012","S00043","",""
"F00012","J00012","S00296","",""
"F00012","J00012","S00318","",""
"F00012","J00012","S00325","",""
"F00012","J00012","S01128","",""
"F00012","J00012","S01130","",""
"F00013","J00013","S00151","",""
"F00013","J00013","S00318","",""
"F00013","J00013","S00325","",""
"F00013","J00013","S00562","",""
