"idcrude","sname","name_en","name_loc1","name_loc2","gname","position","effect","effect_loc","comment","ref"
"S00001","Abelmoschus moschatus Folium","Musk-Mallow, Musk Okra","Waron","","Abelmoschus moschatus Medik.","Leaf","Leaf: cough medicine. Seed: cosmetics raw materials.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00002","Abelmoschus moschatus Oleum","Musk-Mallow, Musk Okra","Waron","","Abelmoschus moschatus Medik.","Oil","Leaf: cough medicine. Seed: cosmetics raw materials.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00003","Abrus precatorius Folium","Jequirity","Saga","","Abrus precatorius L.","Leaf","Leaf: drug ulcers, cough, sore throat.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00004","Acacia sieberiana Radix","-","Akasia","","Acacia sieberiana DC","Root","Roots: drug fever, bowel.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00005","Acanthopanax senticosus Cortex","Tienchi","Notoginseng","","Acanthopanax senticosus","Bark","Hemoptysis, hematemesis, epistaxis, hematochezia, abnormal uterine bleeding, traumatic bleeding; pricking pain in the chest and abdomen, traumatic swelling and pain.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00006","Achillea santolina Folium","-","Daun Seribu","","Achillea santolina L.","Leaf","Leaf: upset stomach in children.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00007","Achyranthes aspera Folium","Chaff-Flower","Sangketan","","Achyranthes aspera L.","Leaf","All plant, especially the root: diuretic, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00008","Achyranthes aspera Radix","Chaff-Flower","Sangketan","","Achyranthes aspera L.","Root","All plant, especially the root: diuretic, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00009","Achyranthes bidentata Folium","Chaff-Flower","Sangketan","","Achyranthes bidentata Blume","Leaf","All plant, especially the root: diuretic, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00010","Achyranthes bidentata Radix","Chaff-Flower","Sangketan","","Achyranthes bidentata Blume","Root","All plant, especially the root: diuretic, rheumatism.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00011","Acori tatarinowi Rhizoma","Chang Pu (Sweet Flag)","Grassleaf Sweetflag","","Acorus tatarinowii Schott","Rhizome","Stuffiness sensation in the epigastrium with anorexia; severe case of dysentery with total loss of appetite; impairment of consciousness in epilepsy; for getfulness and impaired hearing.","","-","www.fzrm.com/herbal%20medicine/Chinese%20traditional%20medicine%20extracts.htm"
"S00012","Acorus calamus Rhizoma","Calamus","Dlingo","","Acorus calamus L.","Rhizome","Rhizome: tranquilizers, gastric, spleen, cosmetics.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
"S00013","Acorus gramineus Herba","Grass-Leaved Sweet Rush","Grass water plant","","Acorus gramineus","Herb","Have an antioxidant effect, the treatment of persistent stomachache  and other digestive disorders, treating problems such as sudden bouts of vomiting, persistent diarrhea, acute abdominal pain  and long term dysentery, aid in removing phlegm and bring on a tranquilizing effect on the mind, used in the treatment of amnesia, in treating heart palpitations, in the treatment of insomnia, in alleviating tinnitus  (ear-ringing), as well as in treating chronic bronchitis and problems like long term bronchial asthma","","-","www.herbs2000.com"
"S00014","Actinidia chinensis Semen","Kiwi","Kiwi","","Actinidia chinensis","Seed","Used in the treatment of stones in the urinary tract, rheumatoid arthralgia, cancers of the liver and oesophagus.","","-","http://www.pfaf.org/database/plants.php?Actinidia+chinensis"
"S00015","Actocarpus communis Folium","Breadfruit","Sukun","","Artocarpus communis Forst.","Leaf","Leaf: drug fever. Rind: laktagoga.","","-","Center Of Research And Development Of Plant Medicines And Traditional Medicine"
