"name","","province"
"BATAK ANGKOLA","",""
"BATAK KARO","",""
"MELAYU SUMUT","",""
"MELAYU RIAU","",""
"MINANGKABAU","",""
"MELAYU SUMBAR","",""
"MENTAWAI","",""
"MELAYU TRADISIONAL","",""
"LEMBAK DELAPAN","",""
"MELAYU BENGKULU","",""
"LAMPUNG","",""
"SUNDAY","",""
"BADUY DALAM","",""
"BADUY LUAR","",""
"JAWA","",""
"MADURA","",""
"BALI","",""
"SASAK","",""
"DOMPU","",""
"SUMBA","",""
"MANGGARAI","",""
"ENDE","",""
"NGADA","",""
"SIKKA","",""
"LARANTUKA","",""
"LAKADEI","",""
"DAYAK PUNAH HOVONGAN","",""
"DAYAK KENDAYAN","",""
"MELAYU KALBAR","",""
"DAYAK KENYAH","",""
"DAYAK SA'BAN","",""
"BULUNGAN","",""
"PASIR","",""
"KUTAI","",""
"MAKASSAR","",""
"BONE","",""
"BGIS","",""
"TORAJA","",""
"BOLAANG MONGONDOW","",""
"BACAN NUAULU","",""
"KEI","",""
"KANUM","",""
"MARIN ANIM","",""
"MOR","",""
"MENYAH","",""
"SOUGB","",""
