"_id","idherbsmed","name","nameloc1","nameloc2","efficacy","efficacyloc","ref","idclass","idcompany","idtype","img"
"1","J00001","Enolimit","","","-","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c661","2",""
"2","J00002","Jamu Anton - Anton Muda","","","Eliminate nausea. Calming the mind for young pregnant women (up to 6 months)","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c1","2",""
"3","J00003","Jamu Anton Anton Tua","","","Taken in pregnancy after the 6th month. To improve digestion, accelerate blood circulation, ease constipation, lethargy and soothe away the mind","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c1","2",""
"4","J00004","Jamu Batuk","","","Cure cough","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c1","2",""
"5","J00005","Jamu Benkwat","","","maintain health and fitness. Strengthen muscles, increase endurance and strength of men, adding excitement and satisfaction of their partner","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","0","c1","2",""
"6","J00006","Jamu Bersalin","","","Useful to the mother after giving birth to shrink the uterus and abdominal muscles, stimulate the workings of milk glands and restore the health and fitness)","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c1","2",""
"7","J00007","Jamu Delima Putih","","","Preventing and treating leucorrhoea, reducing excess mucus and remove the smell of the less savory","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c1","2",""
"8","J00008","Jamu Encok","","","Effective to relieves muscles and joints pain.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c1","2",""
"9","J00009","Jamu Gadung Klingsir","","","Eliminate aches pains, sore joints and are weary with fatigue and increase appetite","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c1","2",""
"10","J00010","Jamu Galian Param","","","Useful to the mother after giving birth to reproduce, and purify milk, so the baby will grow up healthy, fresh and plump","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c1","2",""
"11","J00011","Jamu Galian Putri","","","Especially for teenage girls, to form a slim body, singset and attractive, making the face more radiant light, fresh, bright and forever young.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c1","2",""
"12","J00012","Jamu Galian Singset","","","Reduce excess fat in the body, so that the body becomes lean, singset and youthful look.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","14","c1","2","Jamu's wrap"
"13","J00013","Jamu Harum Sari","","","Eliminate body odor (BB), sweat and breath less savory that can interfere with the smooth interaction.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","16","c1","2",""
"14","J00014","Jamu Kolasom","","","Maintain and enhance the spirit and energy of young male","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c1","2",""
"15","J00015","Jamu Kuat majun","","","Adding power and spirit remained strong, so manly, healthy and strong","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","11","c1","2",""
"16","J00016","Jamu Mustika Rapet","","","Reducing excess mucus, treating white, flattened muscles and increasing female arousal and partner satisfaction.","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","6","c1","2",""
"17","J00017","Jamu Napsu Makan","","","Preventing and treating ulcers with pain symptoms in the lips, gums, tongue and mouth pain because there is flaking, swelling, blisters and heat in","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","3","c1","2",""
"18","J00018","Jamu Nirmalasari","","","Prevent and treat acne to the face / skin fresh and smooth","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","16","c1","2",""
"19","J00019","Jamu Orangin","","","Treating cold","","http://www.pom.go.id/nonpublic/obat_tradisional/default.asp","15","c1","2",""
