"idplant","idcrude"
"P00001","S00001"
"P00001","S00002"
"P00002","S00003"
"P00003","S00004"
"P00004","S00005"
"P00005","S00006"
"P00006","S00007"
"P00006","S00008"
"P00007","S00009"
"P00007","S00010"
"P00007","T00057"
"P00007","T00058"
"P00008","T00057"
"P00008","T00058"
"P00009","T00025"
"P00010","T00009"
"P00010","T00025"
"P00010","T00162"
"P00010","T00210"
"P00010","T00226"
"P00011","S00011"
"P00012","S00012"
"P00013","S00013"
"P00014","S00014"
"P00015","S00015"
"P00016","S00016"
"P00017","S00017"
"P00017","S00018"
"P00018","S00019"
"P00019","S00020"
"P00020","S00021"
"P00020","S00022"
"P00021","S00023"
"P00022","S00024"
"P00023","T00175"
"P00023","T00212"
"P00024","S00025"
"P00024","T00175"
"P00024","T00212"
"P00025","S00026"
"P00026","S00027"
"P00027","S00028"
"P00027","S00029"
"P00027","S00030"
"P00028","T00118"
"P00029","S00031"
"P00030","S00032"
"P00031","S00033"
"P00032","S00034"
"P00033","S00035"
"P00033","T00110"
"P00033","T00233"
"P00034","S00036"
"P00034","S00037"
"P00034","S00038"
"P00035","S00039"
"P00035","T00142"
"P00036","S00040"
"P00037","S00041"
"P00038","S00042"
"P00039","S00043"
"P00040","S00044"
"P00041","S00045"
"P00041","T00190"
"P00042","S00046"
"P00043","S00047"
"P00043","S00048"
"P00044","S00049"
"P00045","S00050"
"P00046","T00153"
"P00047","S00051"
"P00047","S00052"
"P00047","S00053"
"P00047","S00054"
"P00047","S00055"
"P00048","S00056"
"P00049","S00057"
"P00050","S00058"
"P00050","S00059"
"P00051","S00060"
"P00052","S00061"
"P00053","T00091"
"P00053","T00207"
"P00054","S00062"
"P00055","T00220"
"P00056","S00063"
"P00057","S00064"
"P00058","S00065"
"P00058","S00066"
"P00059","S00067"
"P00060","S00068"
"P00060","S00069"
"P00061","S00070"
"P00061","S00071"
"P00062","S00072"
"P00062","S00073"
"P00063","S00074"
"P00064","S00075"
"P00064","T00122"
"P00065","S00076"
"P00066","T00133"
"P00067","S00077"
"P00067","T00149"
"P00068","T00104"
"P00069","S00078"
"P00070","T00137"
"P00071","S00079"
"P00072","S00080"
"P00073","S00081"
"P00074","S00082"
"P00075","S00083"
"P00075","S00084"
"P00076","S00085"
"P00077","T00174"
"P00078","T00155"
"P00078","T00174"
"P00078","T00242"
"P00078","T00243"
"P00078","T00244"
"P00078","T00278"
"P00079","S00086"
"P00079","S00087"
"P00079","S00088"
"P00079","S00089"
"P00080","S00090"
"P00080","S00091"
"P00081","S00092"
"P00082","T00137"
"P00083","S00093"
"P00084","S00094"
"P00084","S00095"
"P00084","T00059"
"P00085","S00096"
"P00086","S00097"
"P00086","S00098"
"P00086","T00117"
"P00086","T00160"
"P00086","T00205"
"P00086","T00206"
"P00086","T00239"
"P00087","S00099"
"P00087","S00100"
"P00088","S00101"
"P00089","S00102"
"P00090","T00129"
"P00091","T00129"
"P00092","S00103"
"P00093","S00104"
"P00094","S00105"
"P00095","S00106"
"P00095","T00083"
"P00095","T00241"
"P00096","S00107"
"P00097","S00108"
"P00098","T00192"
"P00099","S00109"
"P00100","S00110"
"P00101","S00111"
"P00102","S00112"
"P00102","S00113"
"P00103","S00114"
"P00104","S00115"
"P00105","T00065"
"P00106","T00131"
"P00106","T00217"
"P00107","S00116"
"P00108","T00076"
"P00109","S00117"
"P00110","S00118"
"P00110","T00015"
"P00111","T00109"
"P00112","T00092"
"P00112","T00150"
"P00112","T00234"
"P00113","S00119"
"P00113","T00109"
"P00114","S00120"
"P00115","T00092"
"P00116","S00121"
"P00117","S00122"
"P00118","S00123"
"P00119","S00124"
"P00120","S00125"
"P00120","S00126"
"P00121","S00127"
"P00122","S00128"
"P00122","S00129"
"P00123","S00130"
"P00124","S00131"
"P00125","S00132"
"P00125","T00272"
"P00126","S00133"
"P00127","S00134"
"P00128","S00135"
"P00129","S00136"
"P00130","S00137"
"P00131","T00132"
"P00132","S00138"
"P00132","S00139"
"P00133","S00140"
"P00134","S00141"
"P00135","S00142"
"P00136","S00143"
"P00137","S00144"
"P00138","S00145"
"P00139","S00146"
"P00140","S00147"
"P00141","S00148"
"P00142","S00149"
"P00142","S00150"
"P00142","S00151"
"P00142","S00152"
"P00143","S00153"
"P00144","S00154"
"P00145","S00155"
"P00146","T00141"
"P00147","S00156"
"P00148","S00157"
"P00148","S00158"
"P00149","S00159"
"P00150","S00160"
"P00151","S00161"
"P00152","S00162"
"P00152","S00163"
"P00153","S00164"
"P00154","S00165"
"P00155","S00166"
"P00155","T00064"
"P00156","S00167"
"P00157","S00168"
"P00157","T00112"
"P00158","S00169"
"P00158","S00170"
"P00159","S00171"
"P00160","S00172"
"P00160","S00173"
"P00160","T00066"
"P00161","S00174"
"P00161","S00175"
"P00162","S00176"
"P00163","T00172"
"P00164","S00177"
"P00165","S00178"
"P00165","S00179"
"P00165","S00180"
"P00166","S00181"
"P00167","S00182"
"P00168","S00183"
"P00168","S00184"
"P00168","S00185"
"P00168","S00186"
"P00169","S00187"
"P00169","S00188"
"P00169","T00053"
"P00170","S00189"
"P00171","S00190"
"P00171","S00191"
"P00171","S00192"
"P00171","S00193"
"P00171","S00194"
"P00172","S00195"
"P00172","S00196"
"P00172","S00197"
"P00172","S00198"
"P00172","S00199"
"P00173","S00200"
"P00174","S00201"
"P00174","S00202"
"P00175","S00203"
"P00175","S00204"
"P00176","S00205"
"P00177","S00206"
"P00178","S00207"
"P00179","S00208"
"P00180","S00209"
"P00181","S00210"
"P00181","S00211"
"P00181","S00212"
"P00182","S00213"
"P00183","S00214"
"P00184","S00215"
"P00184","S00216"
"P00185","S00217"
"P00185","S00218"
"P00185","T00168"
"P00186","S00219"
"P00187","S00220"
"P00188","S00221"
"P00188","T00044"
"P00189","S00222"
"P00189","T00044"
"P00190","S00223"
"P00191","S00224"
"P00192","S00225"
"P00193","S00226"
"P00194","T00094"
"P00195","S00227"
"P00196","S00228"
"P00196","S00229"
"P00196","S00230"
"P00196","S00231"
"P00196","S00232"
"P00196","S00233"
"P00197","S00234"
"P00198","S00235"
"P00198","S00236"
"P00198","T00051"
"P00198","T00198"
"P00198","T00199"
"P00199","S00237"
"P00200","S00238"
"P00200","S00239"
"P00201","S00240"
"P00202","S00241"
"P00203","S00242"
"P00204","S00243"
"P00205","S00244"
"P00206","S00245"
"P00206","S00246"
"P00206","S00247"
"P00206","S00248"
"P00207","S00249"
"P00207","S00250"
"P00207","S00251"
"P00207","T00032"
"P00207","T00043"
"P00208","S00252"
"P00209","S00253"
"P00209","S00254"
"P00209","S00255"
"P00209","S00256"
"P00210","S00257"
"P00211","S00258"
"P00212","S00259"
"P00213","T00032"
"P00214","S00260"
"P00214","S00261"
"P00214","T00119"
"P00214","T00128"
"P00215","S00262"
"P00215","S00263"
"P00215","S00264"
"P00216","T00119"
"P00216","T00128"
"P00217","S00265"
"P00217","S00266"
"P00217","S00267"
"P00218","S00268"
"P00219","S00269"
"P00220","S00270"
"P00220","T00006"
"P00221","T00006"
"P00222","T00006"
"P00223","S00271"
"P00224","S00272"
"P00225","S00273"
"P00226","S00274"
"P00227","S00275"
"P00228","S00276"
"P00228","T00087"
"P00229","T00103"
"P00230","S00277"
"P00230","S00278"
"P00230","S00279"
"P00231","S00280"
"P00232","S00281"
"P00233","S00282"
"P00233","T00196"
"P00234","S00283"
"P00235","S00284"
"P00236","S00285"
"P00237","S00286"
"P00238","S00287"
"P00238","S00288"
"P00238","S00289"
"P00239","S00290"
"P00240","S00291"
"P00241","S00292"
"P00242","S00293"
"P00243","S00294"
"P00243","T00020"
"P00244","T00020"
"P00245","T00020"
"P00246","S00295"
"P00247","S00296"
