"idformula","idherbsmed","ref"
"F00001","K00001","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00002","K00001","漢方医学の基礎と診療：西山英雄著，昭和44.3.15（創元社）；漢方後世要方解説：矢数道明著，昭和37.5.30（医道の日本社）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00003","K00001","実用漢方療法−現代医学の盲点をつく：藤平健著，昭和47.5.1，初版（保健同人社）"
"F00004","K00001","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00005","K00001","漢方の診かた治しかた：寺師睦濟著，昭和47.10.10，第4版（福村出版）"
"F00006","K00001","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00007","K00001","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00008","K00001","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00009","K00002","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00010","K00003","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00011","K00003","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00012","K00003","漢方後世要方解説：矢数道明著，昭和37.5.30（医道の日本社）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00013","K00003","漢方の診かた治しかた：寺師睦濟著，昭和47.10.10，第4版（福村出版）"
"F00014","K00003","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00015","K00003","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00016","K00003","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00017","K00004","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00018","K00004","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00019","K00004","漢方後世要方解説：矢数道明著，昭和37.5.30（医道の日本社）"
"F00020","K00004","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00021","K00004","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00022","K00004","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00023","K00004","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00024","K00004","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00025","K00004","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00026","K00004","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00031","K00005","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00032","K00005","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00033","K00005","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00034","K00005","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00027","K00005","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）；漢方の診かた治しかた：寺師睦濟著，昭和47.10.10，第4版（福村出版）"
"F00028","K00005","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）；漢方医学の基礎と診療：西山英雄著，昭和44.3.15（創元社）"
"F00029","K00005","金匱要略入門：森田幸門著，昭和43.1.15，第2版（森田漢方治療研究所）；明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00030","K00005","実用漢方療法−現代医学の盲点をつく：藤平健著，昭和47.5.1，初版（保健同人社）"
"F00035","K00006","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00036","K00006","症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00037","K00006","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00038","K00006","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00039","K00006","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00040","K00006","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00041","K00008","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00042","K00009","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00043","K00010","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00044","K00011","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00045","K00011","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）；あなたの病気の漢方療法：山田光胤著，昭和38.1.15，初版（青樹社）"
"F00046","K00011","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）"
"F00047","K00011","漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）；漢方診療三十年：大塚敬節著，昭和34.6.1（創元社）；漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00048","K00011","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00049","K00011","臨床医の漢方：木下繁太朗・鎌江眞吾共著，昭和44（医歯薬出版）"
"F00050","K00011","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00051","K00011","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00052","K00011","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00059","K00012","一般用漢方処方の手引き：厚生省薬務局監修，日薬連漢方専門委員会編，平成14.10.1，第5版（じほう）；天然医薬資源学[第2版]：竹田忠紘・吉川孝文・高橋邦夫・斉藤和季，平成17.3.10，第4刷（廣川書店）"
"F00060","K00012","一般用漢方製剤承認基準：厚生労働省医薬食品局，平成20.10.1；改訂一般用漢方処方の手引き：日本公定書協会監修，日薬連漢方生薬製剤協会編，平成21.6.30，初版（じほう）"
"F00061","K00012","漢方方意ノート：千葉古方漢方研究会著，平成5.8.31（丸善）"
"F00053","K00012","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）；症候による漢方治療の実際：大塚敬節著，昭和38.9.20，初版（南江堂）"
"F00054","K00012","改訂新版漢方処方集：龍野一雄編著，昭和49.6.25，改訂（中国漢方医学書刊行会）"
"F00055","K00012","臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
"F00056","K00012","経験漢方処方分量集：大塚敬節・矢数道明監修（医道の日本社）；漢方診療医典：大塚敬節・矢数道明・清水藤太郎共著，昭和44.1.15，第1版（南山堂）"
"F00057","K00012","漢方診療の実際：大塚敬節・矢数道明・清水藤太郎共著，昭和33.2.15，第4版（南江堂）"
"F00058","K00012","明解漢方処方：西岡一夫・高橋真太郎共著，昭和41.7.10，第1版（浪速社）"
"F00062","K00013","漢方処方応用の実際：山田光胤著，昭和47.3.1，第3版（南山堂）"
"F00063","K00013","漢方大医典：大塚敬節他著，昭和32.9，第1版（東都書房）"
"F00064","K00013","臨床30年漢方百話：昭和35.12.10，矢数道明著（医道の日本社）"
"F00065","K00013","近代漢方薬ハンドブック：高橋良忠著，昭和42.10（薬局新聞社）；臨床応用漢方処方解説：矢数道明著，昭和41.5.5，初版（創元社）"
